1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	1
1	2	1	1	2	1	1	2	2	2	1	2	1	2	1	2	1	1	2	1
1	2	1	1	2	1	1	2	1	2	1	2	1	2	1	2	1	1	2	1
1	2	1	2	2	2	2	2	1	2	1	2	2	2	1	2	2	2	2	1
1	2	1	2	1	1	1	2	1	2	1	2	1	1	1	2	1	2	1	1
1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1
1	2	1	1	1	2	1	2	1	1	4	1	1	2	1	2	2	2	2	1
1	2	2	2	2	2	2	2	1	0	8	0	1	2	1	2	1	1	2	1
1	1	2	1	2	1	1	2	1	5	6	7	1	2	1	2	1	1	2	1
1	1	2	1	2	1	1	2	1	1	1	1	1	2	2	2	1	1	2	1
1	1	2	1	2	1	1	2	1	2	2	2	1	2	1	2	2	2	2	1
1	2	2	1	2	2	2	2	2	2	1	2	2	2	1	1	1	1	2	1
1	2	1	1	1	1	1	2	1	1	1	1	1	2	2	2	2	2	2	1
1	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	1	1	2	1
1	2	1	1	1	2	1	1	1	2	1	2	1	1	1	2	1	1	2	1
1	2	2	2	1	2	2	2	2	2	9	2	2	2	1	2	2	2	2	1
1	2	1	2	1	2	1	2	1	2	1	1	1	2	2	2	1	1	2	1
1	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
